Eliminated Week,League,Team,Owner,Score,Cumulative Score at Elimination
9,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,ringular,117.3,1394.8
9,LTS Bowl L2,Fozberry64,Fozberry64,112.45,1447
9,LTS Bowl L4,NinerJay,NinerJay,112.25,1373.7
8,LTS Bowl L1,Diarrhea Happens,bartonscott84,104.95,1156.05
8,LTS Bowl L1,MikeDavisThrupple,DavisDayCare,101.45,1099.3
8,LTS Bowl L4,The Lib Owners,nak97,72.65,1083.05
7,LTS Bowl L4,"Once again, I'm tilting ",arthurdantas,119.9,1091
7,The Only Legitimate LTS Bowl League - L3,jetsgnome22,jetsgnome22,114.7,1068.85
7,LTS Bowl L2,SOTBD,SOTBD,114.6,996.55
6,LTS Bowl L4,Searching for Stapler,Spencer,104.85,829.7
6,LTS Bowl L1,Week 3 Meat Mountain,PossumKingdom,100.45,833.05
6,The Only Legitimate LTS Bowl League - L3,39ers,tripp39,98.05,793.9
5,LTS Bowl L2,Natanab,Natanab,131.1,765.65
5,LTS Bowl L4,Chickpea Smoothie,apulianas,116.1,664.9
5,LTS Bowl L4,outshine13,outshine13,96,730.85
4,LTS Bowl L1,Not Great Bob,tommcg17,114.45,540.4
4,LTS Bowl L2,fantasyscott,fantasyscott,113.65,539.05
4,LTS Bowl L4,The Glorious Process,armandoguzman,99.3,510.05
3,LTS Bowl L1,THE KIDS,CommieEsq,123.3,381.95
3,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,johnnysmomskid,119.1,440.75
3,The Only Legitimate LTS Bowl League - L3,The Woke FAAB,reginaldo,116.25,430.85
2,LTS Bowl L2,Duluth Eskimos,GREGGELS17,108.3,224.55
2,LTS Bowl L2,Edina Cake Eaters,ecsirkin,99.5,239.8
2,The Only Legitimate LTS Bowl League - L3,SycamoreFlynns,SycamoreFlynns,70.2,207.55
1,The Only Legitimate LTS Bowl League - L3,TurdFergusonFF,TurdFergusonFF,113.4,113.4
1,The Only Legitimate LTS Bowl League - L3,Purple Monkey Dishwasher ,alexewart,108.6,108.6
1,LTS Bowl L2,Kendradhl,Kendradhl,103.05,103.05
