Survival Week,League,Team,Owner,Score,Cumulative Score
2,LTS Bowl L2,Horsey Sauce,FeelingDangerouz,222.3,379.45000000000005
2,The Only Legitimate LTS Bowl League - L3,Greenhorns,D3M090,202.05,382.5
2,LTS Bowl L1,Mouth Kazoo Maestros,Weagle85,191.9,333.05
2,LTS Bowl L2,The Huge Mistaeks,RipSlabcheek,185.25,351.3
2,The Only Legitimate LTS Bowl League - L3,Closet Poopers,coots1185,183.95,342.54999999999995
2,LTS Bowl L4,NinerJay,NinerJay,183.6,323.95
2,The Only Legitimate LTS Bowl League - L3,The Woke FAAB,reginaldo,181.7,314.6
2,LTS Bowl L1,Golf Cartin',stephensear,172.95,302
2,LTS Bowl L4,Trailing Daler,teamdaler,172.45,304.75
2,The Only Legitimate LTS Bowl League - L3,johnnysmomskid,johnnysmomskid,172.2,321.65
2,LTS Bowl L4,Cooking with my Bo,crackofdawn321,171.4,323.70000000000005
2,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,Deredactyl,168.1,316.2
2,LTS Bowl L4,Sweep the Leg,ctjoumas,167.65,293.5
2,LTS Bowl L4,"Once again, I'm tilting ",arthurdantas,165.85,321.65
2,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,ringular,164.9,338.8
2,LTS Bowl L2,Fozberry64,Fozberry64,163.75,326.85
2,LTS Bowl L4,outshine13,outshine13,162.8,336.9
2,LTS Bowl L2,Natanab,Natanab,158.2,334.7
2,LTS Bowl L1,Diarrhea Happens,bartonscott84,156,312.5
2,LTS Bowl L1,Klabbertrap,Klabbertrap,155.3,292.65
2,LTS Bowl L2,fantasyscott,fantasyscott,153.35,274
2,LTS Bowl L1,Week 3 Meat Mountain,PossumKingdom,150.95,295.29999999999995
2,LTS Bowl L1,Vandelay Industries,DGo81,150.1,264.6
2,LTS Bowl L4,The Lib Owners,nak97,147.7,269.45
2,LTS Bowl L2,Randomizer Interns,matthewdwood82,147.45,295.75
2,LTS Bowl L2,kipahisbush,kipahisbush,145.8,284.1
2,LTS Bowl L1,Not Great Bob,tommcg17,144.8,279.05
2,LTS Bowl L1,Bad Faith Fantasy,cptbeefalo,144.05,291.45000000000005
2,LTS Bowl L4,Chickpea Smoothie,apulianas,143.8,278.20000000000005
2,LTS Bowl L1,High Tea,OhShagHennessy,140.6,329.75
2,The Only Legitimate LTS Bowl League - L3,jetsgnome22,jetsgnome22,140.1,279.04999999999995
2,LTS Bowl L4,The Glorious Process,armandoguzman,139.3,259.35
2,LTS Bowl L2,aspires,aspires,138.2,294.85
2,LTS Bowl L2,SOTBD,SOTBD,136.35,298.04999999999995
2,LTS Bowl L4,Searching for Stapler,Spencer,124.65,293.35
