Survival Week,League,Team,Owner,Score,Cumulative Score
16,LTS Bowl L4,Damn Fine Coffee,JoshWest,128.5,2493.35
16,LTS Bowl L4,Sweep the Leg,ctjoumas,128.3,2416.65
15,LTS Bowl L4,Damn Fine Coffee,JoshWest,167.75,2364.85
15,LTS Bowl L1,Vandelay Industries,DGo81,157.65,2246
15,LTS Bowl L4,Sweep the Leg,ctjoumas,144.7,2288.35
14,LTS Bowl L4,Damn Fine Coffee,JoshWest,187.75,2189.1
14,LTS Bowl L4,Sweep the Leg,ctjoumas,157.7,2143.65
14,LTS Bowl L2,The Huge Mistaeks,RipSlabcheek,157.5,2244.75
14,LTS Bowl L1,Vandelay Industries,DGo81,133.9,2088.35
14,LTS Bowl L4,Trailing Daler,teamdaler,127.1,2160.95
14,LTS Bowl L2,Horsey Sauce,FeelingDangerouz,123.85,2209.3
13,LTS Bowl L2,kipahisbush,kipahisbush,174.9,1946.75
13,LTS Bowl L1,Vandelay Industries,DGo81,156.05,1954.45
13,LTS Bowl L2,Horsey Sauce,FeelingDangerouz,152,2085.45
13,LTS Bowl L4,Sweep the Leg,ctjoumas,145.6,1985.95
13,LTS Bowl L4,Damn Fine Coffee,JoshWest,136.45,2001.35
13,The Only Legitimate LTS Bowl League - L3,Rice Suspened for 6 Games,DrWraith84,133.6,2007.5
13,The Only Legitimate LTS Bowl League - L3,Greenhorns,D3M090,132.15,2011.35
13,LTS Bowl L2,The Huge Mistaeks,RipSlabcheek,129.3,2087.25
13,LTS Bowl L4,Trailing Daler,teamdaler,126.9,2033.85
12,The Only Legitimate LTS Bowl League - L3,Rice Suspened for 6 Games,DrWraith84,203.5,1873.9
12,LTS Bowl L4,Sweep the Leg,ctjoumas,194.9,1840.35
12,LTS Bowl L1,High Tea,OhShagHennessy,192.15,2006.9
12,LTS Bowl L2,Sexy Skeletons,aspires,178.15,2057.85
12,LTS Bowl L2,Horsey Sauce,FeelingDangerouz,165.45,1933.45
12,LTS Bowl L1,Vandelay Industries,DGo81,158.85,1798.4
12,LTS Bowl L1,Mouth Kazoo Maestros,Weagle85,139.75,2005.35
12,LTS Bowl L2,The Huge Mistaeks,RipSlabcheek,137.25,1957.95
