Team,Total Points For,Total Points Against,League
High Tea,2887.8,2618.7,LTS Bowl L1
Speaks Kindly Holds Knife,2733.85,2686.3,The Only Legitimate LTS Bowl League - L3
No Puka No Party ,2684.45,2439.95,LTS Bowl L2
Natanab,2616,2605.85,LTS Bowl L2
Closet Poopers,2605.45,2279.75,The Only Legitimate LTS Bowl League - L3
Rice Suspened for 6 Games,2605.3,2396.65,The Only Legitimate LTS Bowl League - L3
NinerJay,2596.4,2636.15,LTS Bowl L4
Sexy Skeletons,2589.95,2316.25,LTS Bowl L2
jetsgnome22,2560.15,2410.1,The Only Legitimate LTS Bowl League - L3
Damn Fine Coffee,2546,2342.55,LTS Bowl L4
"Once again, I'm tilting ",2537.85,2351.55,LTS Bowl L4
The Huge Mistaeks,2529.95,2300.75,LTS Bowl L2
Sweep the Leg,2529.3,2488.1,LTS Bowl L4
Mouth Kazoo Maestros,2528.05,2405.6,LTS Bowl L1
Golf Cartin',2517.35,2423.4,LTS Bowl L1
Trailing Daler,2510.65,2152.75,LTS Bowl L4
Searching for Stapler,2503.7,2517.35,LTS Bowl L4
Horsey Sauce,2500.6,2420.15,LTS Bowl L2
Klabbertrap,2488.05,2474.35,LTS Bowl L1
Cooking with my Bo,2473.25,2402,LTS Bowl L4
Greenhorns,2459.65,2243.45,The Only Legitimate LTS Bowl League - L3
MikeDavisThrupple,2428.85,2301.6,LTS Bowl L1
Randomizer Interns,2417.1,2366.7,LTS Bowl L2
SOTBD,2404.45,2320.6,LTS Bowl L2
kipahisbush,2400,2385,LTS Bowl L2
DeadEndFriends,2392.95,2510.85,LTS Bowl L1
Bad Faith Fantasy,2380.85,2273.25,LTS Bowl L1
The Woke FAAB,2379.65,2371.1,The Only Legitimate LTS Bowl League - L3
The Glorious Process,2374.6,2476.95,LTS Bowl L4
WilhelmTilt,2370.6,2330.25,The Only Legitimate LTS Bowl League - L3
Vandelay Industries,2370.1,2306.7,LTS Bowl L1
Purple Monkey Dishwasher ,2366.3,2539,The Only Legitimate LTS Bowl League - L3
THE KIDS,2328.65,2465.35,LTS Bowl L1
Diarrhea Happens,2276.4,2305.3,LTS Bowl L1
Chickpea Smoothie,2272.25,2343,LTS Bowl L4
Duluth Eskimos,2260.9,2344.3,LTS Bowl L2
TurdFergusonFF,2230.85,2352.75,The Only Legitimate LTS Bowl League - L3
67ers,2209.9,2199.05,The Only Legitimate LTS Bowl League - L3
The Lib Owners,2197.75,2455.05,LTS Bowl L4
Edina Cake Eaters,2160.25,2522.7,LTS Bowl L2
outshine13,2154.65,2308.45,LTS Bowl L4
Ram it!,2143.75,2366.25,LTS Bowl L4
Not Great Bob,2122.55,2138.45,LTS Bowl L1
johnnysmomskid,2113.7,2462,The Only Legitimate LTS Bowl League - L3
fantasyscott,2109.2,2464.6,LTS Bowl L2
Kendradhl,2092.55,2278.55,LTS Bowl L2
SycamoreFlynns,2068.65,2433.65,The Only Legitimate LTS Bowl League - L3
Week 3 Meat Mountain,1933.6,2431.65,LTS Bowl L1
