Week,Category,League,Awardee,Opponent,Awardee Score,Opponent Score,Difference
2,Highest Score,LTS Bowl L4,NinerJay,"Once again, I'm tilting ",61.5,16.4,45.1
2,Lowest Score,LTS Bowl L1,Mouth Kazoo Maestros,Week 3 Meat Mountain,0,13.9,13.9
2,Lowest Score,LTS Bowl L1,DeadEndFriends,THE KIDS,0,4.4,4.4
2,Lowest Score,LTS Bowl L1,High Tea,Vandelay Industries,0,0,0
2,Lowest Score,LTS Bowl L1,Bad Faith Fantasy,Klabbertrap,0,0,0
2,Lowest Score,LTS Bowl L1,Vandelay Industries,High Tea,0,0,0
2,Lowest Score,LTS Bowl L1,Klabbertrap,Bad Faith Fantasy,0,0,0
2,Lowest Score,LTS Bowl L2,fantasyscott,Natanab,0,0,0
2,Lowest Score,LTS Bowl L2,aspires,Duluth Eskimos,0,2.2,2.2
2,Lowest Score,LTS Bowl L2,The Huge Mistaeks,Kendradhl,0,45.9,45.9
2,Lowest Score,LTS Bowl L2,SOTBD,Horsey Sauce,0,16.4,16.4
2,Lowest Score,LTS Bowl L2,Natanab,fantasyscott,0,0,0
2,Lowest Score,LTS Bowl L2,Edina Cake Eaters,Fozberry64,0,40.2,40.2
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,jetsgnome22,39ers,0,16.4,16.4
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,Speaks Kindly Holds Knife,WilhelmTilt,0,0,0
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,TurdFergusonFF,Rice Suspened for 6 Games,0,4.4,4.4
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,Speaks Kindly Holds Knife,0,0,0
2,Lowest Score,The Only Legitimate LTS Bowl League - L3,Closet Poopers,The Woke FAAB,0,46,46
2,Lowest Score,LTS Bowl L4,Sweep the Leg,Ram it!,0,3.7,3.7
2,Lowest Score,LTS Bowl L4,Trailing Daler,The Glorious Process,0,30.5,30.5
2,Lowest Score,LTS Bowl L4,crackofdawn321,Searching for Stapler,0,0,0
2,Lowest Score,LTS Bowl L4,Searching for Stapler,crackofdawn321,0,0,0
2,Lowest Score,LTS Bowl L4,Damn Fine Coffee,Chickpea Smoothie,0,13.8,13.8
1,Biggest Blowout,The Only Legitimate LTS Bowl League - L3,WilhelmTilt,TurdFergusonFF,173.9,113.4,60.5
1,Narrowest Win,LTS Bowl L1,MikeDavisThrupple,THE KIDS,142.95,141.2,1.75
1,Fewest Points in Win,LTS Bowl L2,Duluth Eskimos,Kendradhl,116.25,103.05,13.200000000000003
1,Most Points in Loss,LTS Bowl L1,Mouth Kazoo Maestros,High Tea,141.15,189.15,48
1,Highest Score,LTS Bowl L1,High Tea,Mouth Kazoo Maestros,189.15,141.15,48
1,Lowest Score,LTS Bowl L2,Kendradhl,Duluth Eskimos,103.05,116.25,13.200000000000003
